Model,Period_s,RMSE,R2,Sigma,Bias
ANN,0.01,0.82979447,0.8775331974029541,0.8297918,-0.002182219
ANN,0.02,0.8332351,0.876821756362915,0.8332342,0.0013727352
ANN,0.022,0.83684856,0.8758195638656616,0.8368476,-0.000984029
ANN,0.025,0.83831424,0.8755494952201843,0.8383148,-0.0002032352
ANN,0.029,0.84533626,0.8739764094352722,0.84533435,0.0016542376
ANN,0.03,0.84656143,0.8737442493438721,0.8465589,0.0019799785
ANN,0.032,0.8491804,0.8732689619064331,0.84917796,0.0021018654
ANN,0.035,0.8564563,0.871683657169342,0.85645604,0.00036728993
ANN,0.036,0.8580552,0.8714020252227783,0.85805506,0.0008806537
ANN,0.04,0.86469316,0.8700075149536133,0.8646907,0.0020653885
ANN,0.042,0.87108546,0.8684862852096558,0.87108034,0.0028323194
ANN,0.044,0.8787804,0.8665021061897278,0.87878025,-0.00040740304
ANN,0.045,0.88140386,0.8658066391944885,0.8813981,0.0031495707
ANN,0.046,0.88516104,0.8647922277450562,0.8851591,0.0014714296
ANN,0.048,0.8846652,0.8652363419532776,0.884651,0.005081516
ANN,0.05,0.88955903,0.8640063405036926,0.88954425,0.0051217694
ANN,0.055,0.9057055,0.8598787784576416,0.90566957,0.008024619
ANN,0.06,0.91634,0.8573843240737915,0.91628987,0.0096442
ANN,0.065,0.9312078,0.8538817763328552,0.93118066,0.0070633553
ANN,0.067,0.9337706,0.853505551815033,0.93371236,0.010423003
ANN,0.07,0.94302195,0.8512387275695801,0.9429528,0.011348282
ANN,0.075,0.95471376,0.8486872315406799,0.9546094,0.014095047
ANN,0.08,0.96341634,0.8472604155540466,0.9633491,0.011384261
ANN,0.085,0.96935374,0.8463370203971863,0.96931845,0.008288402
ANN,0.09,0.97798663,0.8445233106613159,0.9779841,0.00208102
ANN,0.095,0.9810404,0.8443888425827026,0.98103875,0.0006555313
ANN,0.1,0.9808027,0.8450852632522583,0.9808015,-0.0013881702
ANN,0.11,0.98328924,0.8448742628097534,0.9832891,0.00096514873
ANN,0.12,0.98296094,0.8451410531997681,0.9829593,0.0020072854
ANN,0.13,0.9817941,0.8455913066864014,0.98179287,0.0018112364
ANN,0.133,0.9720858,0.8486002683639526,0.9720791,0.0036052943
ANN,0.14,0.97018147,0.8490483164787292,0.97017056,-0.0045562754
ANN,0.15,0.9600132,0.851777195930481,0.9599907,-0.0064898888
ANN,0.16,0.9578245,0.8521208167076111,0.9577892,-0.008264912
ANN,0.17,0.95683837,0.8521155714988708,0.9567767,-0.010845593
ANN,0.18,0.946681,0.8550790548324585,0.94661874,-0.010822851
ANN,0.19,0.93931973,0.8571702241897583,0.9392089,-0.014417862
ANN,0.2,0.93455625,0.8575408458709717,0.9344425,-0.0145342
ANN,0.22,0.9223405,0.8593974113464355,0.9222112,-0.015430553
ANN,0.24,0.9124452,0.8608776330947876,0.9122747,-0.017621
ANN,0.25,0.9056812,0.8625612258911133,0.90549356,-0.01839658
ANN,0.26,0.8987856,0.8643695116043091,0.8984988,-0.02271277
ANN,0.28,0.89004946,0.8664145469665527,0.8897301,-0.02387073
ANN,0.29,0.8826983,0.8684486150741577,0.88235795,-0.024479644
ANN,0.3,0.8789053,0.8693430423736572,0.87854725,-0.025096184
ANN,0.32,0.8636394,0.8732309341430664,0.8632952,-0.02440119
ANN,0.34,0.85168594,0.8761283755302429,0.8514168,-0.02138968
ANN,0.35,0.8485998,0.8765518665313721,0.8483866,-0.019000141
ANN,0.36,0.84213865,0.8779581189155579,0.8419339,-0.01855502
ANN,0.38,0.8349435,0.879169762134552,0.83469814,-0.020218726
ANN,0.4,0.82994264,0.8797701597213745,0.82961196,-0.02342687
ANN,0.42,0.82154477,0.8812018036842346,0.8210834,-0.027533896
ANN,0.44,0.812914,0.883095383644104,0.81240827,-0.028659077
ANN,0.45,0.8068354,0.8845324516296387,0.8063519,-0.027934622
ANN,0.46,0.8026593,0.885488748550415,0.8021954,-0.027270228
