Region,Mw_min,Mw_max,RJB_min,RJB_max,ZTOR_min,ZTOR_max,Vs30_min,Vs30_max
Alaska (interface),5.0,7.21,39.4975025,999.0898298,9.915,32.878,322.0,750.0
Alaska (intraslab),5.0,7.96,28.1045623,998.5433826,34.548,154.585,210.0,750.0
Cascadia (interface),4.7,4.9,114.8384898,678.7427604,12.279,17.908,376.0,665.0
Cascadia (intraslab),4.58,6.8,3.5169528,988.1309973,18.0,52.17,140.0,2000.0
CentralAmerica&Mexico (interface),6.32,7.99,0.0,747.2489218,6.0,29.81,225.0,586.0
CentralAmerica&Mexico (intraslab),6.47,7.32,107.6496923,945.5241019,36.43,158.566,281.0,2100.0
Japan (interface),5.89,9.12,0.0,928.831581,1.22,36.011,94.7,2229.8
Japan (intraslab),5.48,8.28,0.0,644.8758255,17.5,120.3534,94.7,1909.1
SouthAmerica (interface),6.1,8.81,0.0,995.0439642,0.0,33.973,198.0,1951.0
SouthAmerica (intraslab),6.07,7.78,0.0,995.1056446,33.28,186.004,116.0,1639.0
Taiwan (interface),5.68,7.12,42.4643494,678.8855344,3.96,22.105,159.0,1037.8827
Taiwan (intraslab),4.1,7.02,4.3673402,654.2300751,24.13,177.603,121.4493,1037.8827
