Period,Inter-event mean,Inter-region mean,Intra-event mean,Inter-event std τ,Inter-region std,Intra-event std ϕ,Sigma σ
0.01,-0.0002,0.0,0.0,0.3767,0.0,0.7146,0.8078
0.02,-0.0003,-0.0,-0.0,0.3798,0.0,0.7169,0.8113
0.03,-0.0013,-0.0,-0.0,0.3878,0.0,0.726,0.823
0.04,-0.0012,0.0,0.0,0.3977,0.0,0.7412,0.8412
0.05,-0.0023,-0.0,-0.0,0.4077,0.0,0.7605,0.8629
0.1,-0.0,-0.0,-0.0,0.4384,0.0,0.8327,0.941
0.2,0.0037,0.0,-0.0,0.4114,0.0,0.8095,0.9081
0.3,0.0055,0.0,0.0,0.3924,0.0,0.7581,0.8536
0.5,0.0053,0.0,0.0,0.3678,0.0,0.6996,0.7904
0.75,0.0023,0.0,-0.0,0.3636,0.0,0.6805,0.7716
1.0,0.0013,0.0,0.0,0.3645,0.0,0.676,0.768
2.0,-0.004,-0.0,-0.0,0.376,0.0,0.6758,0.7734
5.0,-0.0044,-0.0,0.0,0.3553,0.0,0.5998,0.6972
10.0,0.0021,0.0,-0.0,0.3398,0.0,0.4999,0.6044
0.0,0.0001,-0.0,-0.0,0.3762,0.0,0.7133,0.8064
-1.0,0.0013,0.0,0.0,0.3181,0.0,0.5548,0.6396
-2.0,0.0016,-0.0,-0.0,0.3165,0.0,0.5335,0.6203
