Output,Period,Mean (μ),Std (σ)
0.01s,0.01,-4.807396,2.410723
0.02s,0.02,-4.794537,2.414745
0.022s,0.022,-4.790151,2.415946
0.025s,0.025,-4.781492,2.418252
0.029s,0.029,-4.76598,2.423374
0.03s,0.03,-4.761302,2.425013
0.032s,0.032,-4.751766,2.428532
0.035s,0.035,-4.736037,2.434026
0.036s,0.036,-4.73076,2.43566
0.04s,0.04,-4.707457,2.442631
0.042s,0.042,-4.693898,2.446561
0.044s,0.044,-4.680035,2.45011
0.045s,0.045,-4.672788,2.45167
0.046s,0.046,-4.6655,2.453434
0.048s,0.048,-4.650776,2.456731
0.05s,0.05,-4.635734,2.459736
0.055s,0.055,-4.594914,2.468948
0.06s,0.06,-4.552247,2.477375
0.065s,0.065,-4.507966,2.487497
0.067s,0.067,-4.490758,2.491968
0.07s,0.07,-4.465645,2.498563
0.075s,0.075,-4.425156,2.508681
0.08s,0.08,-4.386992,2.517343
0.085s,0.085,-4.349558,2.524764
0.09s,0.09,-4.314557,2.531594
0.095s,0.095,-4.282453,2.537294
0.1s,0.1,-4.252286,2.541051
0.11s,0.11,-4.203407,2.545126
0.12s,0.12,-4.163079,2.546764
0.13s,0.13,-4.133639,2.546754
0.133s,0.133,-4.127314,2.546005
0.14s,0.14,-4.113595,2.544238
0.15s,0.15,-4.095308,2.540995
0.16s,0.16,-4.080311,2.537177
0.17s,0.17,-4.069513,2.5335
0.18s,0.18,-4.06262,2.530429
0.19s,0.19,-4.055652,2.525921
0.2s,0.2,-4.050879,2.519431
0.22s,0.22,-4.053009,2.508137
0.24s,0.24,-4.058401,2.494389
0.25s,0.25,-4.062855,2.488947
0.26s,0.26,-4.067685,2.484205
0.28s,0.28,-4.080441,2.476645
0.29s,0.29,-4.089041,2.473189
0.3s,0.3,-4.09834,2.469405
0.32s,0.32,-4.116413,2.462657
0.34s,0.34,-4.137582,2.457131
0.35s,0.35,-4.147933,2.45375
0.36s,0.36,-4.157801,2.449299
0.38s,0.38,-4.175043,2.438844
0.4s,0.4,-4.194523,2.430101
0.42s,0.42,-4.216067,2.420745
0.44s,0.44,-4.239317,2.412759
0.45s,0.45,-4.251441,2.408978
0.46s,0.46,-4.263461,2.405156
0.48s,0.48,-4.286356,2.39796
0.5s,0.5,-4.306874,2.390422
0.55s,0.55,-4.360728,2.375193
0.6s,0.6,-4.417047,2.360161
0.65s,0.65,-4.466199,2.34658
0.667s,0.667,-4.483524,2.342189
0.7s,0.7,-4.518915,2.335542
0.75s,0.75,-4.571748,2.32517
0.8s,0.8,-4.619915,2.317891
0.85s,0.85,-4.669607,2.309543
0.9s,0.9,-4.719658,2.304929
0.95s,0.95,-4.765714,2.299763
1.0s,1.0,-4.810166,2.291487
1.1s,1.1,-4.900159,2.281193
1.2s,1.2,-4.99205,2.272337
1.3s,1.3,-5.079676,2.267328
1.4s,1.4,-5.162908,2.262708
1.5s,1.5,-5.24504,2.258899
1.6s,1.6,-5.323601,2.256729
1.7s,1.7,-5.399546,2.252089
1.8s,1.8,-5.473347,2.2506
1.9s,1.9,-5.543194,2.251827
2.0s,2.0,-5.611044,2.251787
2.2s,2.2,-5.740612,2.252011
2.4s,2.4,-5.864,2.255314
2.5s,2.5,-5.921573,2.256124
2.6s,2.6,-5.977648,2.25759
2.8s,2.8,-6.086346,2.260604
3.0s,3.0,-6.187228,2.263674
3.2s,3.2,-6.285672,2.269381
3.4s,3.4,-6.378738,2.274768
3.5s,3.5,-6.423353,2.278597
3.6s,3.6,-6.467721,2.281256
3.8s,3.8,-6.55648,2.283481
4.0s,4.0,-6.642506,2.285481
4.2s,4.2,-6.724464,2.287033
4.4s,4.4,-6.801825,2.289917
4.6s,4.6,-6.875421,2.292199
4.8s,4.8,-6.944799,2.294494
5.0s,5.0,-7.011568,2.299605
5.5s,5.5,-7.17116,2.316227
6.0s,6.0,-7.324733,2.327899
6.5s,6.5,-7.46861,2.333636
7.0s,7.0,-7.602625,2.340237
7.5s,7.5,-7.727675,2.343339
8.0s,8.0,-7.84432,2.349326
8.5s,8.5,-7.955728,2.352155
9.0s,9.0,-8.06255,2.355338
9.5s,9.5,-8.162831,2.359014
10.0s,10.0,-8.256455,2.36465
PGA,0.0,-4.811134,2.409657
PGV,-1.0,-0.132973,2.259608
PGD,-2.0,-0.573524,2.684368
