Output,Period,Inter-event mean,Inter-region mean,Intra-event mean,tau,phi_r,phi,sigma
0.01s,0.01,-0.0002374503573664261,2.9977392772240944e-18,2.393205576827552e-18,0.37672380506088055,1.0863790550550424e-17,0.7145704385121835,0.8077943654761666
0.02s,0.02,-0.0003096401447625835,-6.462901518672321e-18,-2.393205576827552e-18,0.379776447704562,7.612017684002799e-18,0.7169327912440969,0.811309298228578
0.022s,0.022,-0.0006588819179180064,1.944479531172385e-18,-7.977351922758506e-19,0.3801926089778453,1.1848856035160474e-17,0.7185520580062871,0.8129351019524568
0.025s,0.025,-0.001330383309925658,3.68952526427581e-18,2.393205576827552e-18,0.38216777309374755,1.3482974778568739e-17,0.7210338376161677,0.8160526954669853
0.029s,0.029,-0.0011397585503008984,-6.257235414413704e-18,-3.988675961379253e-18,0.38616865943542616,1.4637927684626673e-17,0.7245153380791945,0.8210046946529379
0.03s,0.03,-0.0013123732178752015,-1.3860648965792906e-17,-5.5841463459309545e-18,0.38775223335792275,1.2924798244939359e-17,0.7259526252259257,0.8230182309927712
0.032s,0.032,-0.0011732161920095638,-4.5869773555861404e-18,-1.5954703845517013e-18,0.3889055565574997,9.356948050725372e-18,0.7283927190172554,0.8257139244548617
0.035s,0.035,-0.0012806354755415996,1.0719566646206733e-18,1.5954703845517013e-18,0.3908865071043101,1.2888630003428716e-17,0.7331410099256673,0.8308357249607382
0.036s,0.036,-0.0011397151743690374,-1.4957534855172203e-18,-1.5954703845517013e-18,0.3949610574968048,1.5155884155195462e-17,0.7341953383570136,0.8336888099309981
0.04s,0.04,-0.0012116090967342523,2.318417902551691e-18,7.977351922758506e-19,0.39770818232808497,7.401105089187903e-18,0.7412163923197218,0.8411739050482802
0.042s,0.042,-0.0015001789334789862,-1.0071406802482615e-17,-7.977351922758506e-18,0.399268166468719,1.0476728490227967e-17,0.7453990634029867,0.8455973228891767
0.044s,0.044,-0.0012458850836521717,1.6926943611103205e-17,7.179616730482656e-18,0.40340374265315926,1.5571566631445766e-17,0.7485970195290779,0.8503717288541494
0.045s,0.045,-0.0014987687421721195,-1.0894071219517082e-17,-1.0370557499586058e-17,0.4037302523382632,2.3750740262946393e-17,0.7505619619967442,0.8522566370815305
0.046s,0.046,-0.0015897255850415718,-3.988675961379254e-18,-3.988675961379253e-18,0.405454353186132,1.2579747439465863e-17,0.7522401126913976,0.8545515898174616
0.048s,0.048,-0.0022075740099219408,6.257235414413701e-18,9.572822307310208e-18,0.4061622814559914,9.967347582954041e-18,0.7565954652883929,0.8587225960532865
0.05s,0.05,-0.0022816118121467563,-8.650440991241253e-18,-3.988675961379253e-18,0.4077099609969332,8.59530535805954e-18,0.760534763557732,0.8629255697196231
0.055s,0.055,-0.0032475867511498014,6.6685676229309395e-18,2.393205576827552e-18,0.41508301975918427,1.0216898931705884e-17,0.7705796632530872,0.8752639206043196
0.06s,0.06,-0.0037732382135657458,-7.603413551379202e-18,-7.977351922758506e-18,0.41790203769748535,1.2570184216289954e-17,0.7806002646207494,0.885425821984933
0.065s,0.065,-0.0037513992839241276,6.2572354144137045e-18,4.786411153655104e-18,0.42408468466643556,9.673037082762796e-18,0.7900244754394522,0.8966529381884675
0.067s,0.067,-0.003774154556634602,1.1218151141379152e-18,0.0,0.4262432661105802,6.17106754413095e-18,0.7939689607671965,0.9011492842844392
