Output,Period,R,PP,k,kp,a,ap,Ro2,Rop2
0.01s,0.01,0.9429,0.8891,0.9775,1.0001,0.0128,0.0,0.8778,0.8891
0.02s,0.02,0.9425,0.8883,0.9772,1.0001,0.013,0.0,0.8768,0.8883
0.022s,0.022,0.9424,0.8881,0.977,1.0001,0.0131,0.0,0.8764,0.8881
0.025s,0.025,0.9421,0.8875,0.9768,1.0001,0.0131,0.0,0.8758,0.8875
0.029s,0.029,0.9416,0.8865,0.9764,1.0001,0.0134,0.0,0.8746,0.8865
0.03s,0.03,0.9414,0.8862,0.9763,1.0001,0.0135,0.0,0.8743,0.8862
0.032s,0.032,0.9411,0.8857,0.976,1.0001,0.0136,0.0,0.8736,0.8857
0.035s,0.035,0.9407,0.885,0.9756,1.0002,0.0138,0.0,0.8727,0.885
0.036s,0.036,0.9404,0.8843,0.9755,1.0001,0.014,0.0,0.872,0.8843
0.04s,0.04,0.9397,0.883,0.9749,1.0001,0.0143,0.0,0.8703,0.883
0.042s,0.042,0.9393,0.8824,0.9745,1.0002,0.0144,0.0,0.8696,0.8824
0.044s,0.044,0.9388,0.8814,0.9741,1.0001,0.0147,0.0,0.8685,0.8814
0.045s,0.045,0.9387,0.8811,0.9739,1.0002,0.0148,0.0,0.868,0.8811
0.046s,0.046,0.9384,0.8805,0.9737,1.0001,0.0149,0.0,0.8674,0.8805
0.048s,0.048,0.9379,0.8797,0.9733,1.0002,0.0151,0.0,0.8664,0.8797
0.05s,0.05,0.9373,0.8786,0.9729,1.0002,0.0154,0.0,0.8651,0.8786
0.055s,0.055,0.936,0.8761,0.9717,1.0003,0.0161,0.0,0.862,0.8761
0.06s,0.06,0.9351,0.8743,0.9707,1.0003,0.0165,0.0,0.8599,0.8743
0.065s,0.065,0.9339,0.8723,0.9695,1.0003,0.017,0.0,0.8574,0.8723
0.067s,0.067,0.9336,0.8715,0.9691,1.0003,0.0172,0.0,0.8566,0.8715
0.07s,0.07,0.9331,0.8707,0.9685,1.0003,0.0174,0.0,0.8555,0.8707
0.075s,0.075,0.9322,0.869,0.9674,1.0003,0.0178,0.0,0.8535,0.869
0.08s,0.08,0.9315,0.8676,0.9666,1.0003,0.0181,0.0,0.8519,0.8676
0.085s,0.085,0.931,0.8668,0.9658,1.0003,0.0183,0.0,0.8509,0.8668
0.09s,0.09,0.9307,0.8663,0.9651,1.0004,0.0184,0.0,0.8503,0.8663
0.095s,0.095,0.9305,0.8658,0.9645,1.0003,0.0185,0.0,0.8498,0.8658
0.1s,0.1,0.9304,0.8656,0.964,1.0003,0.0184,0.0,0.8497,0.8656
0.11s,0.11,0.9304,0.8657,0.9633,1.0003,0.0182,0.0,0.8499,0.8657
0.12s,0.12,0.9307,0.8661,0.9631,1.0002,0.018,0.0,0.8505,0.8661
0.13s,0.13,0.9314,0.8675,0.9629,1.0004,0.0174,0.0,0.8524,0.8675
0.133s,0.133,0.9314,0.8675,0.9629,1.0003,0.0174,0.0,0.8524,0.8675
0.14s,0.14,0.9315,0.8678,0.9629,1.0003,0.0173,0.0,0.8528,0.8678
0.15s,0.15,0.9318,0.8683,0.9629,1.0003,0.0172,0.0,0.8534,0.8683
0.16s,0.16,0.9319,0.8684,0.9628,1.0003,0.0171,0.0,0.8536,0.8684
0.17s,0.17,0.9325,0.8695,0.9632,1.0002,0.0168,0.0,0.8549,0.8695
0.18s,0.18,0.9329,0.8703,0.9633,1.0002,0.0166,0.0,0.8558,0.8703
0.19s,0.19,0.9332,0.8709,0.9635,1.0003,0.0164,0.0,0.8566,0.8709
0.2s,0.2,0.9336,0.8716,0.9638,1.0002,0.0162,0.0,0.8575,0.8716
0.22s,0.22,0.9347,0.8736,0.9645,1.0003,0.0157,0.0,0.8599,0.8736
0.24s,0.24,0.9355,0.8751,0.9654,1.0002,0.0153,0.0,0.8617,0.8751
0.25s,0.25,0.936,0.876,0.9658,1.0002,0.0151,0.0,0.8629,0.876
0.26s,0.26,0.9366,0.8773,0.9663,1.0003,0.0148,0.0,0.8643,0.8773
0.28s,0.28,0.9378,0.8795,0.9672,1.0003,0.0142,0.0,0.867,0.8795
0.29s,0.29,0.9385,0.8808,0.9676,1.0004,0.0139,0.0,0.8686,0.8808
0.3s,0.3,0.9393,0.8823,0.9683,1.0003,0.0135,0.0,0.8703,0.8823
0.32s,0.32,0.9404,0.8843,0.9691,1.0004,0.0131,0.0,0.8728,0.8843
0.34s,0.34,0.9413,0.8861,0.9699,1.0004,0.0126,0.0,0.8749,0.8861
0.35s,0.35,0.9417,0.8868,0.9702,1.0003,0.0125,0.0,0.8757,0.8868
0.36s,0.36,0.9422,0.8877,0.9707,1.0003,0.0123,0.0,0.8768,0.8877
0.38s,0.38,0.9427,0.8887,0.9713,1.0003,0.012,0.0,0.8781,0.8887
0.4s,0.4,0.9431,0.8894,0.9718,1.0003,0.0119,0.0,0.8788,0.8894
0.42s,0.42,0.9433,0.8897,0.9724,1.0002,0.0118,0.0,0.8792,0.8897
0.44s,0.44,0.9434,0.89,0.9728,1.0002,0.0118,0.0,0.8795,0.89
0.45s,0.45,0.9435,0.8901,0.973,1.0003,0.0118,0.0,0.8796,0.8901
0.46s,0.46,0.9435,0.8903,0.9732,1.0003,0.0118,0.0,0.8797,0.8903
0.48s,0.48,0.9436,0.8904,0.9736,1.0002,0.0118,0.0,0.8799,0.8904
0.5s,0.5,0.9438,0.8908,0.9742,1.0001,0.0118,0.0,0.8802,0.8908
0.55s,0.55,0.9435,0.8903,0.9747,1.0002,0.012,0.0,0.8796,0.8903
0.6s,0.6,0.9438,0.8907,0.9754,1.0003,0.012,0.0,0.88,0.8907
0.65s,0.65,0.9439,0.891,0.9761,1.0003,0.012,0.0,0.8803,0.891
0.667s,0.667,0.944,0.8911,0.9763,1.0003,0.012,0.0,0.8804,0.8911
0.7s,0.7,0.9438,0.8908,0.9766,1.0004,0.0121,0.0,0.8801,0.8908
0.75s,0.75,0.9436,0.8904,0.9772,1.0003,0.0123,0.0,0.8794,0.8904
0.8s,0.8,0.9432,0.8896,0.9775,1.0004,0.0125,0.0,0.8785,0.8896
0.85s,0.85,0.943,0.8893,0.9779,1.0003,0.0127,0.0,0.878,0.8893
0.9s,0.9,0.9433,0.8898,0.9784,1.0003,0.0126,0.0,0.8786,0.8898
0.95s,0.95,0.9427,0.8887,0.9787,1.0003,0.0129,0.0,0.8773,0.8887
1.0s,1.0,0.9422,0.8877,0.979,1.0003,0.0132,0.0,0.876,0.8877
1.1s,1.1,0.9419,0.8871,0.9796,1.0003,0.0134,0.0,0.8752,0.8871
1.2s,1.2,0.9411,0.8857,0.9801,1.0003,0.014,0.0,0.8733,0.8857
1.3s,1.3,0.9406,0.8846,0.9805,1.0003,0.0144,0.0,0.8719,0.8846
1.4s,1.4,0.9399,0.8835,0.981,1.0002,0.0148,0.0,0.8704,0.8835
1.5s,1.5,0.9393,0.8822,0.9813,1.0003,0.0151,0.0,0.8689,0.8822
1.6s,1.6,0.9384,0.8806,0.9814,1.0003,0.0156,0.0,0.8669,0.8806
1.7s,1.7,0.9379,0.8797,0.9819,1.0003,0.016,0.0,0.8657,0.8797
1.8s,1.8,0.938,0.8799,0.9824,1.0002,0.0159,0.0,0.8659,0.8799
1.9s,1.9,0.9385,0.8808,0.9828,1.0003,0.0158,0.0,0.8668,0.8808
2.0s,2.0,0.9388,0.8813,0.9833,1.0002,0.0157,0.0,0.8675,0.8813
2.2s,2.2,0.9399,0.8835,0.9843,1.0002,0.0152,0.0,0.87,0.8835
2.4s,2.4,0.9414,0.8862,0.985,1.0004,0.0143,0.0,0.8735,0.8862
2.5s,2.5,0.9418,0.887,0.9853,1.0004,0.0142,0.0,0.8745,0.887
2.6s,2.6,0.9423,0.888,0.9856,1.0004,0.0139,0.0,0.8757,0.888
