Period,r² (ANN),r² (BNN),MSE (ANN),MSE (BNN),σ_al/resid (ANN),σ_al/resid (BNN),σ_al/learned (BNN),σ_ep (BNN),σ_tot (BNN)
0.01s,0.8835,0.8186,0.6812,1.1266,0.8252,1.0337,1.0755,0.339,1.1276
0.05s,0.8711,0.8058,0.7849,1.19,0.8858,1.0863,1.1597,0.3234,1.2039
0.1s,0.8559,0.7858,0.9351,1.4114,0.967,1.1823,1.2322,0.3771,1.2886
0.2s,0.8676,0.8086,0.8461,1.2416,0.9198,1.1079,1.1901,0.3416,1.2382
0.5s,0.8904,0.8403,0.631,0.9549,0.7941,0.9694,1.0134,0.3196,1.0626
1.0s,0.8887,0.8423,0.5883,0.8704,0.7668,0.9207,0.9907,0.3169,1.0401
2.0s,0.8816,0.8463,0.6038,0.7932,0.7768,0.8895,0.9798,0.2928,1.0226
5.0s,0.9074,0.8776,0.491,0.6728,0.7002,0.8087,0.8908,0.3338,0.9513
10.0s,0.9369,0.9064,0.3554,0.5323,0.5946,0.7296,0.7983,0.2588,0.8392
PGA,0.8837,0.8201,0.6794,1.0644,0.8241,1.0315,1.0844,0.3424,1.1372
